geo,purchasing_power_standard_per_inhabitant,real_labour_productivity_per_person_employed_2019_base_year,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_proportion
FRG0,29200.0,102.0,3893.02,118.3,0.0011533097801602898,3012.67,50.67895202821249,1.083012286088845,66678.21,21200.0,67.5,0.3325,1.85,0.11019999999999999,83.4,0.07
FRH0,27800.0,103.7,5625.39,122.4,0.0010710185776266422,2018.1399999999999,51.57785909545086,1.0871911788893969,59146.13,20800.0,67.3,0.3525,1.78,0.10566666666666669,82.5,0.038
FRI1,28800.0,102.0,418.27,83.9,0.002334787981532153,3266.57,51.608743461892175,1.1141884122472974,61804.67,21600.0,67.1,0.3378310844577711,1.64,0.138,83.4,0.039
FRI2,24700.0,102.8,130.71,42.9,0.0007039344025550648,1770.8500000000001,53.66393926485928,1.1084764221662753,13027.71,19700.0,66.9,0.3161580790395198,1.7,0.15533333333333332,82.3,0.054000000000000006
FRI3,26600.0,102.9,550.21,70.0,0.0010579767376331095,2477.4300000000003,52.948399279395524,1.1005291461023208,32784.12,20000.0,67.9,0.28985507246376807,1.72,0.1335,82.8,0.067
FRJ1,24500.0,101.7,68.06,104.4,0.0018533655129436828,3910.0199999999995,51.85362054686845,1.1219083361659132,47335.82,18800.0,59.8,0.32616308154077045,1.78,0.18840000000000004,83.1,0.08800000000000001
FRJ2,30100.0,102.9,661.01,67.8,0.0013553338462756802,3153.2,51.04293878904011,1.0802438828584828,54655.6,21900.0,68.0,0.42221110555277636,1.67,0.15075,83.8,0.07
FRK1,26700.0,106.4,1173.71,52.6,0.00112661479720378,2230.25,52.4755595001253,1.0875361672873969,25232.04,20800.0,67.4,0.2975,1.73,0.1335,82.5,0.063
FRK2,33200.0,103.7,1560.29,150.9,0.0002157617045866996,3638.7000000000003,49.579626254211306,1.0860757186652361,123046.21,24200.0,69.1,0.397,1.87,0.12487499999999999,84.1,0.075
FRL0,30600.0,101.6,24.87,162.4,0.0003591571384390553,4251.42,51.779981000290995,1.1303537636517458,93340.21,22700.0,63.4,0.3638180909545227,1.96,0.166,83.4,0.057999999999999996
